trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
156,False,"{'a': 0.8555591903710185, 'e': 0.21013607120076475}",30,16,26.434117212703544,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.8547040588176851, 'e': 0.20804518235702046}",20,13,3.055102480130533,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.8538497819684817, 'e': 0.20597509820488347}",20,4,-9.09365182568727,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
159,False,"{'a': 0.8529963589691315, 'e': 0.20392561173421345}",25,11,-17.61652414627584,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.8521437889662113, 'e': 0.2018965179946554}",30,20,8.026111963797318,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.8512920711071511, 'e': 0.1998876140751445}",20,10,16.524003191583745,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.850441204540233, 'e': 0.19789869908361468}",25,17,16.427788933596037,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.8495911884145902, 'e': 0.19592957412690934}",30,9,36.83233868170646,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.8487420218802068, 'e': 0.19398004229089189}",30,2,-10.311820705511623,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 1}",1
165,False,"{'a': 0.8478937040879159, 'e': 0.1920499086207541}",20,2,19.04359526471242,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.8470462341893996, 'e': 0.19013898010152053}",25,17,15.097028023488337,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.8461996113371882, 'e': 0.1882470656387468}",25,15,8.97887088125214,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.8453538346846587, 'e': 0.18637397603941}",20,10,18.39495376519716,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.8445089033860343, 'e': 0.1845195239929893}",25,14,21.154153383150447,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.8436648165963837, 'e': 0.18268352405273466}",25,18,-1.3103951975963222,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.8428215734716199, 'e': 0.1808657926171221}",30,21,5.519767777017037,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
